event,phase,lat,profile_value
day33_shape_peak,before,25.0,26.795979727539947
day33_shape_peak,before,27.0,31.54439969598118
day33_shape_peak,before,29.0,35.83071669793088
day33_shape_peak,before,31.0,39.14206323157277
day33_shape_peak,before,33.0,40.6823281255493
day33_shape_peak,before,35.0,40.33674491166266
day33_shape_peak,before,37.0,38.49787235969889
day33_shape_peak,before,39.0,35.68984770440131
day33_shape_peak,before,41.0,32.1369045210554
day33_shape_peak,before,43.0,28.229413457917854
day33_shape_peak,before,45.0,24.358654985023648
day33_shape_peak,after,25.0,21.043219342278366
day33_shape_peak,after,27.0,26.014997490412664
day33_shape_peak,after,29.0,30.856920265706503
day33_shape_peak,after,31.0,35.04729217876074
day33_shape_peak,after,33.0,38.1967790175035
day33_shape_peak,after,35.0,39.729596551822226
day33_shape_peak,after,37.0,39.44796668156837
day33_shape_peak,after,39.0,37.6708376617289
day33_shape_peak,after,41.0,34.57307678255568
day33_shape_peak,after,43.0,30.311957598812356
day33_shape_peak,after,45.0,25.551974562175015
day33_shape_peak,after_minus_before,25.0,-5.752760385261581
day33_shape_peak,after_minus_before,27.0,-5.529402205568516
day33_shape_peak,after_minus_before,29.0,-4.973796432224379
day33_shape_peak,after_minus_before,31.0,-4.094771052812028
day33_shape_peak,after_minus_before,33.0,-2.485549108045795
day33_shape_peak,after_minus_before,35.0,-0.607148359840437
day33_shape_peak,after_minus_before,37.0,0.9500943218694786
day33_shape_peak,after_minus_before,39.0,1.9809899573275942
day33_shape_peak,after_minus_before,41.0,2.436172261500282
day33_shape_peak,after_minus_before,43.0,2.082544140894502
day33_shape_peak,after_minus_before,45.0,1.1933195771513674
day46_raw_peak,before,25.0,17.965874402650314
day46_raw_peak,before,27.0,23.373667994423528
day46_raw_peak,before,29.0,28.962036489711902
day46_raw_peak,before,31.0,34.211941015293114
day46_raw_peak,before,33.0,38.367997593180945
day46_raw_peak,before,35.0,40.704775390461755
day46_raw_peak,before,37.0,40.6287519906632
day46_raw_peak,before,39.0,38.11543422267611
day46_raw_peak,before,41.0,34.01130863017301
day46_raw_peak,before,43.0,29.04126706819496
day46_raw_peak,before,45.0,23.820134614850996
day46_raw_peak,after,25.0,16.547244463186086
day46_raw_peak,after,27.0,22.66015105500374
day46_raw_peak,after,29.0,28.81787803060193
day46_raw_peak,after,31.0,34.423105291849076
day46_raw_peak,after,33.0,38.536424935467615
day46_raw_peak,after,35.0,40.05240925366892
day46_raw_peak,after,37.0,38.77006037172757
day46_raw_peak,after,39.0,35.05373860734033
day46_raw_peak,after,41.0,30.09891937473356
day46_raw_peak,after,43.0,25.12638985493733
day46_raw_peak,after,45.0,20.61747235606088
day46_raw_peak,after_minus_before,25.0,-1.4186299394642283
day46_raw_peak,after_minus_before,27.0,-0.7135169394197867
day46_raw_peak,after_minus_before,29.0,-0.14415845910997405
day46_raw_peak,after_minus_before,31.0,0.21116427655596226
day46_raw_peak,after_minus_before,33.0,0.16842734228666956
day46_raw_peak,after_minus_before,35.0,-0.6523661367928355
day46_raw_peak,after_minus_before,37.0,-1.8586916189356302
day46_raw_peak,after_minus_before,39.0,-3.061695615335779
day46_raw_peak,after_minus_before,41.0,-3.9123892554394537
day46_raw_peak,after_minus_before,43.0,-3.914877213257629
day46_raw_peak,after_minus_before,45.0,-3.2026622587901166
