field,bootstrap_id,retreat_start_day,retreat_end_day,P_proj_change,P_dist_change,D_pre_change,D_post_change,R_diff_change,orthogonal_ratio_change,daily_cos_mean,retreat_interpretation
H,0,40,48,-0.13134967868631503,-0.11483196391517975,-2.9432237614382153,1.3240583560684875,0.004822296182395935,-0.1251984040922647,-0.31474311554203604,true_backward_retreat
H,1,43,47,-0.09438766595101289,-0.036315634907251204,-2.3975108751415153,-0.17590913128252872,0.004178044751079302,-0.10729677912668828,-0.38124035319682265,mixed_retreat_and_reorganization
H,2,43,45,-0.008749030682749126,-0.008504179950138802,-0.18778503130778113,0.11007500787586366,0.00026589882779837204,-0.007188838500826189,-0.10300722636987406,true_backward_retreat
H,3,44,45,-0.013911498263753097,-0.01140665363043425,-0.18524188436873779,0.23956954814760678,0.0009549790976264294,0.003533950527376095,-0.3426700915867264,true_backward_retreat
H,4,44,46,-0.025607028264832632,-0.015884888988344614,-0.672979230073798,0.01245745421927591,0.002398573070528709,-0.04597696729324202,-0.19513021356127844,true_backward_retreat
H,5,44,45,-0.00203095957649041,-0.0019426701289645965,-0.0596639078584662,0.010070735196720193,0.0007307324517731306,-0.0046905772010871205,-0.05354843478857161,true_backward_retreat
H,6,40,47,-0.08524965765298842,-0.08173094756402866,-1.7144157778103644,1.2925666211555829,0.005478926745480117,-0.04481694801880319,-0.28944674290982136,true_backward_retreat
H,8,45,48,-0.019595029506896955,-0.016909641582407153,-0.5876886991990755,0.01297840807216133,0.0024939644942660877,-0.06931300331830942,-0.13734326634812818,true_backward_retreat
H,9,45,47,-0.010677047732621903,0.002314882374299554,-0.44588585036109585,-0.3440284957866053,0.0009033554912551978,-0.04910212342058656,-0.1460543433870451,mixed_retreat_and_reorganization
H,10,44,48,-0.12242364866775168,-0.10583755836253267,-2.005877675585772,1.1578034984807957,0.0032737120104191497,-0.08304272438225632,-0.40052624924364055,true_backward_retreat
