field,day,P_proj,P_dist,D_pre,D_post,R_pre,R_post,R_diff,orthogonal_norm,orthogonal_ratio,daily_cos_to_post_direction,daily_change_norm
H,30,-0.27932292258956154,0.19139738383453836,5.066900082905719,21.406293967050665,0.9997370171217785,0.9935199877139254,-0.006217029407853181,2.005237917819868,0.1203700632516825,,
H,31,-0.2022403390967924,0.15213443090588769,3.60090859685461,20.068346123545787,0.9998482300936773,0.9930859636329575,-0.006762266460719757,1.2710782122553828,0.07630005569282279,0.8432791825444443,1.5227629522582744
H,32,-0.12806544979530293,0.11028689051994174,2.3323904566837377,18.816002119150124,0.9998934088600594,0.9932428080481249,-0.006650600811934471,0.9426031496471097,0.05658241335652323,0.9430877648695455,1.3102441091447943
H,33,-0.05301941917209566,0.056480366761073576,1.0506515216744523,17.551414681595393,0.9999534427816562,0.993387602848242,-0.006565839933414197,0.568983819882784,0.034154859021884414,0.9270728247186327,1.3485321194387243
H,34,0.02738631032387676,0.03375112074702015,0.5660826787696133,16.206180471027924,0.9999930491306827,0.993460536337373,-0.006532512793309686,0.3351217110936103,0.02011662616334666,0.9003255988771234,1.4877666437728214
H,35,0.11972868149353018,0.1271351848621469,2.1388693732428745,14.684713929538791,0.9999421752115382,0.9936935443884347,-0.0062486308231034515,0.7723469576526436,0.04636230510041881,0.9323124282847921,1.6500114883540826
H,36,0.21424366054582122,0.22788673490214936,3.8903578008058832,13.181095710853477,0.9997280823575054,0.9934227283543521,-0.006305354003153352,1.5480967593077293,0.09292887551228499,0.8818281661448729,1.785517436209024
H,37,0.3012894782905205,0.31593497989428676,5.468521615286431,11.840488033205869,0.99939694235853,0.993336669594141,-0.00606027276438903,2.170880367103056,0.1303132185851196,0.9035372337170211,1.6049047967267929
H,38,0.390110800123,0.39951951620481435,6.9602055508089125,10.461235126048413,0.9990553749254996,0.993875743078177,-0.005179631847322508,2.4919124754575175,0.14958407659405878,0.9600414575180155,1.5412555871158848
H,39,0.45830373374260547,0.4623302369943916,8.103112285463574,9.423563750570535,0.9985863586139744,0.9945126014081767,-0.004073757205797723,2.7146661058701467,0.16295549169848766,0.898526583285359,1.2643166667902948
