P_proj_t25,P_proj_t50,P_proj_t75,P_proj_durable_t50,P_proj_durable_t75,P_dist_t25,P_dist_t50,P_dist_t75,P_dist_durable_t50,P_dist_durable_t75,Rdiff_post_dominance_day,Dpost_closest_to_post_day,Orthogonal_max_ratio_day,field
37.0,41.0,52.0,48.0,52.0,37.0,41.0,52.0,48.0,52.0,47.0,56.0,43.0,H
41.0,46.0,51.0,46.0,51.0,40.0,46.0,51.0,46.0,51.0,43.0,57.0,46.0,Jw
