criterion,result,does_it_advance_understanding,if_failed_next_action
definition_conflict_count,0,True,continue_if_other_outputs_are_informative
H_retreat_projection_risk,mixed_retreat_and_reorganization,True,projection_retreat_not_rejected_by_this_audit
robust_across_definition_count,0,False,if_zero_and_no_other_increment_stop_this_line
