window_id,mode,object,explained_variance_ratio,object_eof_energy_fraction
W081,1,P,0.10779447967881378,0.09573181449918483
W081,1,V,0.10779447967881378,0.13110456127692566
W081,1,H,0.10779447967881378,0.3820267740296901
W081,1,Je,0.10779447967881378,0.2110763750356168
W081,1,Jw,0.10779447967881378,0.18006047515858262
W081,2,P,0.09245074833512479,0.12789502700633484
W081,2,V,0.09245074833512479,0.10411403923848556
W081,2,H,0.09245074833512479,0.39573946616761346
W081,2,Je,0.09245074833512479,0.200452352962686
W081,2,Jw,0.09245074833512479,0.1717991146248802
W081,3,P,0.0706034453609484,0.1821465549875412
W081,3,V,0.0706034453609484,0.27306523620969547
W081,3,H,0.0706034453609484,0.23498215962557642
W081,3,Je,0.0706034453609484,0.1598767838134839
W081,3,Jw,0.0706034453609484,0.14992926536370302
W081,4,P,0.06602022837858793,0.14998660721761006
W081,4,V,0.06602022837858793,0.30605505551371304
W081,4,H,0.06602022837858793,0.24397281392988762
W081,4,Je,0.06602022837858793,0.18491775333449736
W081,4,Jw,0.06602022837858793,0.11506777000429178
