backend,rep,object_name,n_invalid_day_lat_cells,n_valid_day_lat_cells,n_invalid_days,skip_reason
ruptures_window,0,P,104,2275,8,
ruptures_window,0,V,88,1925,8,
ruptures_window,0,H,88,1925,8,
ruptures_window,0,Je,88,1925,8,
ruptures_window,0,Jw,88,1925,8,
ruptures_window,1,P,104,2275,8,
ruptures_window,1,V,88,1925,8,
ruptures_window,1,H,88,1925,8,
ruptures_window,1,Je,88,1925,8,
ruptures_window,1,Jw,88,1925,8,
ruptures_window,2,P,104,2275,8,
ruptures_window,2,V,88,1925,8,
ruptures_window,2,H,88,1925,8,
ruptures_window,2,Je,88,1925,8,
ruptures_window,2,Jw,88,1925,8,
ruptures_window,3,P,104,2275,8,
ruptures_window,3,V,88,1925,8,
ruptures_window,3,H,88,1925,8,
ruptures_window,3,Je,88,1925,8,
ruptures_window,3,Jw,88,1925,8,
ruptures_window,4,P,104,2275,8,
ruptures_window,4,V,88,1925,8,
ruptures_window,4,H,88,1925,8,
ruptures_window,4,Je,88,1925,8,
ruptures_window,4,Jw,88,1925,8,
ruptures_window,5,P,104,2275,8,
ruptures_window,5,V,88,1925,8,
ruptures_window,5,H,88,1925,8,
ruptures_window,5,Je,88,1925,8,
ruptures_window,5,Jw,88,1925,8,
ruptures_window,6,P,104,2275,8,
ruptures_window,6,V,88,1925,8,
ruptures_window,6,H,88,1925,8,
ruptures_window,6,Je,88,1925,8,
ruptures_window,6,Jw,88,1925,8,
ruptures_window,7,P,104,2275,8,
ruptures_window,7,V,88,1925,8,
ruptures_window,7,H,88,1925,8,
ruptures_window,7,Je,88,1925,8,
ruptures_window,7,Jw,88,1925,8,
ruptures_window,8,P,104,2275,8,
ruptures_window,8,V,88,1925,8,
ruptures_window,8,H,88,1925,8,
ruptures_window,8,Je,88,1925,8,
ruptures_window,8,Jw,88,1925,8,
ruptures_window,9,P,104,2275,8,
ruptures_window,9,V,88,1925,8,
ruptures_window,9,H,88,1925,8,
ruptures_window,9,Je,88,1925,8,
ruptures_window,9,Jw,88,1925,8,
ruptures_window,10,P,104,2275,8,
ruptures_window,10,V,88,1925,8,
ruptures_window,10,H,88,1925,8,
ruptures_window,10,Je,88,1925,8,
ruptures_window,10,Jw,88,1925,8,
ruptures_window,11,P,104,2275,8,
ruptures_window,11,V,88,1925,8,
ruptures_window,11,H,88,1925,8,
ruptures_window,11,Je,88,1925,8,
ruptures_window,11,Jw,88,1925,8,
ruptures_window,12,P,104,2275,8,
ruptures_window,12,V,88,1925,8,
ruptures_window,12,H,88,1925,8,
ruptures_window,12,Je,88,1925,8,
ruptures_window,12,Jw,88,1925,8,
ruptures_window,13,P,104,2275,8,
ruptures_window,13,V,88,1925,8,
ruptures_window,13,H,88,1925,8,
ruptures_window,13,Je,88,1925,8,
ruptures_window,13,Jw,88,1925,8,
ruptures_window,14,P,104,2275,8,
ruptures_window,14,V,88,1925,8,
ruptures_window,14,H,88,1925,8,
ruptures_window,14,Je,88,1925,8,
ruptures_window,14,Jw,88,1925,8,
ruptures_window,15,P,104,2275,8,
ruptures_window,15,V,88,1925,8,
ruptures_window,15,H,88,1925,8,
ruptures_window,15,Je,88,1925,8,
ruptures_window,15,Jw,88,1925,8,
ruptures_window,16,P,104,2275,8,
ruptures_window,16,V,88,1925,8,
ruptures_window,16,H,88,1925,8,
ruptures_window,16,Je,88,1925,8,
ruptures_window,16,Jw,88,1925,8,
ruptures_window,17,P,104,2275,8,
ruptures_window,17,V,88,1925,8,
ruptures_window,17,H,88,1925,8,
ruptures_window,17,Je,88,1925,8,
ruptures_window,17,Jw,88,1925,8,
ruptures_window,18,P,104,2275,8,
ruptures_window,18,V,88,1925,8,
ruptures_window,18,H,88,1925,8,
ruptures_window,18,Je,88,1925,8,
ruptures_window,18,Jw,88,1925,8,
ruptures_window,19,P,104,2275,8,
ruptures_window,19,V,88,1925,8,
ruptures_window,19,H,88,1925,8,
ruptures_window,19,Je,88,1925,8,
ruptures_window,19,Jw,88,1925,8,
ruptures_window,20,P,104,2275,8,
ruptures_window,20,V,88,1925,8,
ruptures_window,20,H,88,1925,8,
ruptures_window,20,Je,88,1925,8,
ruptures_window,20,Jw,88,1925,8,
ruptures_window,21,P,104,2275,8,
ruptures_window,21,V,88,1925,8,
ruptures_window,21,H,88,1925,8,
ruptures_window,21,Je,88,1925,8,
ruptures_window,21,Jw,88,1925,8,
ruptures_window,22,P,104,2275,8,
ruptures_window,22,V,88,1925,8,
ruptures_window,22,H,88,1925,8,
ruptures_window,22,Je,88,1925,8,
ruptures_window,22,Jw,88,1925,8,
ruptures_window,23,P,104,2275,8,
ruptures_window,23,V,88,1925,8,
ruptures_window,23,H,88,1925,8,
ruptures_window,23,Je,88,1925,8,
ruptures_window,23,Jw,88,1925,8,
ruptures_window,24,P,104,2275,8,
ruptures_window,24,V,88,1925,8,
ruptures_window,24,H,88,1925,8,
ruptures_window,24,Je,88,1925,8,
ruptures_window,24,Jw,88,1925,8,
ruptures_window,25,P,104,2275,8,
ruptures_window,25,V,88,1925,8,
ruptures_window,25,H,88,1925,8,
ruptures_window,25,Je,88,1925,8,
ruptures_window,25,Jw,88,1925,8,
ruptures_window,26,P,104,2275,8,
ruptures_window,26,V,88,1925,8,
ruptures_window,26,H,88,1925,8,
ruptures_window,26,Je,88,1925,8,
ruptures_window,26,Jw,88,1925,8,
ruptures_window,27,P,104,2275,8,
ruptures_window,27,V,88,1925,8,
ruptures_window,27,H,88,1925,8,
ruptures_window,27,Je,88,1925,8,
ruptures_window,27,Jw,88,1925,8,
ruptures_window,28,P,104,2275,8,
ruptures_window,28,V,88,1925,8,
ruptures_window,28,H,88,1925,8,
ruptures_window,28,Je,88,1925,8,
ruptures_window,28,Jw,88,1925,8,
ruptures_window,29,P,104,2275,8,
ruptures_window,29,V,88,1925,8,
ruptures_window,29,H,88,1925,8,
ruptures_window,29,Je,88,1925,8,
ruptures_window,29,Jw,88,1925,8,
ruptures_window,30,P,104,2275,8,
ruptures_window,30,V,88,1925,8,
ruptures_window,30,H,88,1925,8,
ruptures_window,30,Je,88,1925,8,
ruptures_window,30,Jw,88,1925,8,
ruptures_window,31,P,104,2275,8,
ruptures_window,31,V,88,1925,8,
ruptures_window,31,H,88,1925,8,
ruptures_window,31,Je,88,1925,8,
ruptures_window,31,Jw,88,1925,8,
ruptures_window,32,P,104,2275,8,
ruptures_window,32,V,88,1925,8,
ruptures_window,32,H,88,1925,8,
ruptures_window,32,Je,88,1925,8,
ruptures_window,32,Jw,88,1925,8,
ruptures_window,33,P,104,2275,8,
ruptures_window,33,V,88,1925,8,
ruptures_window,33,H,88,1925,8,
ruptures_window,33,Je,88,1925,8,
ruptures_window,33,Jw,88,1925,8,
ruptures_window,34,P,104,2275,8,
ruptures_window,34,V,88,1925,8,
ruptures_window,34,H,88,1925,8,
ruptures_window,34,Je,88,1925,8,
ruptures_window,34,Jw,88,1925,8,
ruptures_window,35,P,104,2275,8,
ruptures_window,35,V,88,1925,8,
ruptures_window,35,H,88,1925,8,
ruptures_window,35,Je,88,1925,8,
ruptures_window,35,Jw,88,1925,8,
ruptures_window,36,P,104,2275,8,
ruptures_window,36,V,88,1925,8,
ruptures_window,36,H,88,1925,8,
ruptures_window,36,Je,88,1925,8,
ruptures_window,36,Jw,88,1925,8,
ruptures_window,37,P,104,2275,8,
ruptures_window,37,V,88,1925,8,
ruptures_window,37,H,88,1925,8,
ruptures_window,37,Je,88,1925,8,
ruptures_window,37,Jw,88,1925,8,
ruptures_window,38,P,104,2275,8,
ruptures_window,38,V,88,1925,8,
ruptures_window,38,H,88,1925,8,
ruptures_window,38,Je,88,1925,8,
ruptures_window,38,Jw,88,1925,8,
ruptures_window,39,P,104,2275,8,
ruptures_window,39,V,88,1925,8,
ruptures_window,39,H,88,1925,8,
ruptures_window,39,Je,88,1925,8,
ruptures_window,39,Jw,88,1925,8,
ruptures_window,40,P,104,2275,8,
ruptures_window,40,V,88,1925,8,
ruptures_window,40,H,88,1925,8,
ruptures_window,40,Je,88,1925,8,
ruptures_window,40,Jw,88,1925,8,
ruptures_window,41,P,104,2275,8,
ruptures_window,41,V,88,1925,8,
ruptures_window,41,H,88,1925,8,
ruptures_window,41,Je,88,1925,8,
ruptures_window,41,Jw,88,1925,8,
ruptures_window,42,P,104,2275,8,
ruptures_window,42,V,88,1925,8,
ruptures_window,42,H,88,1925,8,
ruptures_window,42,Je,88,1925,8,
ruptures_window,42,Jw,88,1925,8,
ruptures_window,43,P,104,2275,8,
ruptures_window,43,V,88,1925,8,
ruptures_window,43,H,88,1925,8,
ruptures_window,43,Je,88,1925,8,
ruptures_window,43,Jw,88,1925,8,
ruptures_window,44,P,104,2275,8,
ruptures_window,44,V,88,1925,8,
ruptures_window,44,H,88,1925,8,
ruptures_window,44,Je,88,1925,8,
ruptures_window,44,Jw,88,1925,8,
ruptures_window,45,P,104,2275,8,
ruptures_window,45,V,88,1925,8,
ruptures_window,45,H,88,1925,8,
ruptures_window,45,Je,88,1925,8,
ruptures_window,45,Jw,88,1925,8,
ruptures_window,46,P,104,2275,8,
ruptures_window,46,V,88,1925,8,
ruptures_window,46,H,88,1925,8,
ruptures_window,46,Je,88,1925,8,
ruptures_window,46,Jw,88,1925,8,
ruptures_window,47,P,104,2275,8,
ruptures_window,47,V,88,1925,8,
ruptures_window,47,H,88,1925,8,
ruptures_window,47,Je,88,1925,8,
ruptures_window,47,Jw,88,1925,8,
ruptures_window,48,P,104,2275,8,
ruptures_window,48,V,88,1925,8,
ruptures_window,48,H,88,1925,8,
ruptures_window,48,Je,88,1925,8,
ruptures_window,48,Jw,88,1925,8,
ruptures_window,49,P,104,2275,8,
ruptures_window,49,V,88,1925,8,
ruptures_window,49,H,88,1925,8,
ruptures_window,49,Je,88,1925,8,
ruptures_window,49,Jw,88,1925,8,
ruptures_window,50,P,104,2275,8,
ruptures_window,50,V,88,1925,8,
ruptures_window,50,H,88,1925,8,
ruptures_window,50,Je,88,1925,8,
ruptures_window,50,Jw,88,1925,8,
ruptures_window,51,P,104,2275,8,
ruptures_window,51,V,88,1925,8,
ruptures_window,51,H,88,1925,8,
ruptures_window,51,Je,88,1925,8,
ruptures_window,51,Jw,88,1925,8,
ruptures_window,52,P,104,2275,8,
ruptures_window,52,V,88,1925,8,
ruptures_window,52,H,88,1925,8,
ruptures_window,52,Je,88,1925,8,
ruptures_window,52,Jw,88,1925,8,
ruptures_window,53,P,104,2275,8,
ruptures_window,53,V,88,1925,8,
ruptures_window,53,H,88,1925,8,
ruptures_window,53,Je,88,1925,8,
ruptures_window,53,Jw,88,1925,8,
ruptures_window,54,P,104,2275,8,
ruptures_window,54,V,88,1925,8,
ruptures_window,54,H,88,1925,8,
ruptures_window,54,Je,88,1925,8,
ruptures_window,54,Jw,88,1925,8,
ruptures_window,55,P,104,2275,8,
ruptures_window,55,V,88,1925,8,
ruptures_window,55,H,88,1925,8,
ruptures_window,55,Je,88,1925,8,
ruptures_window,55,Jw,88,1925,8,
ruptures_window,56,P,104,2275,8,
ruptures_window,56,V,88,1925,8,
ruptures_window,56,H,88,1925,8,
ruptures_window,56,Je,88,1925,8,
ruptures_window,56,Jw,88,1925,8,
ruptures_window,57,P,104,2275,8,
ruptures_window,57,V,88,1925,8,
ruptures_window,57,H,88,1925,8,
ruptures_window,57,Je,88,1925,8,
ruptures_window,57,Jw,88,1925,8,
ruptures_window,58,P,104,2275,8,
ruptures_window,58,V,88,1925,8,
ruptures_window,58,H,88,1925,8,
ruptures_window,58,Je,88,1925,8,
ruptures_window,58,Jw,88,1925,8,
ruptures_window,59,P,104,2275,8,
ruptures_window,59,V,88,1925,8,
ruptures_window,59,H,88,1925,8,
ruptures_window,59,Je,88,1925,8,
ruptures_window,59,Jw,88,1925,8,
ruptures_window,60,P,104,2275,8,
ruptures_window,60,V,88,1925,8,
ruptures_window,60,H,88,1925,8,
ruptures_window,60,Je,88,1925,8,
