rep,center_day,start_day,end_day,main_peak_day,n_support_points
0,44,43,46,44,1
0,82,71,95,82,1
0,114,111,117,114,1
0,163,161,166,163,1
1,43,38,46,43,1
1,77,75,81,77,1
1,95,92,97,95,1
1,113,109,117,113,1
1,133,133,133,133,1
1,161,160,162,161,1
2,45,43,48,45,1
2,76,74,82,76,1
2,112,108,116,112,1
2,132,130,135,132,1
2,159,159,159,159,1
3,45,43,46,45,1
3,65,63,68,65,1
3,84,81,87,84,1
3,101,97,104,101,1
3,137,137,137,137,1
3,161,156,164,161,1
4,41,41,41,41,1
4,90,75,93,90,1
4,114,108,117,114,1
4,137,134,139,137,1
4,163,161,165,163,1
5,46,46,46,46,1
5,83,73,88,83,1
5,112,110,114,112,1
5,139,139,139,139,1
5,158,155,162,158,1
6,44,41,47,44,1
6,81,76,83,81,1
6,110,107,114,110,1
6,137,137,137,137,1
6,161,158,163,161,1
7,45,39,47,45,1
7,76,73,81,76,1
7,98,95,100,98,1
7,115,112,118,115,1
7,164,163,166,164,1
8,43,42,44,43,1
8,81,78,83,81,1
8,96,95,99,96,1
8,112,106,116,112,1
8,136,136,136,136,1
8,160,156,163,160,1
9,45,42,47,45,1
9,82,76,87,82,1
9,114,111,117,114,1
9,137,134,139,137,1
9,156,154,162,156,1
10,44,40,47,44,1
10,80,75,85,80,1
10,113,109,116,113,1
10,162,159,165,162,1
11,45,42,47,45,1
11,82,78,85,82,1
11,98,96,100,98,1
11,113,108,116,113,1
11,135,135,136,135,1
11,161,155,164,161,1
12,44,41,47,44,1
12,79,74,83,79,1
12,96,95,99,96,1
12,112,107,115,112,1
12,161,159,164,161,1
13,45,43,47,45,1
13,78,74,82,78,1
13,94,92,97,94,1
13,113,110,116,113,1
13,162,159,165,162,1
14,45,41,48,45,1
14,84,80,99,84,1
14,114,111,116,114,1
14,155,153,161,155,1
15,35,32,46,35,1
15,77,72,82,77,1
15,114,109,118,114,1
15,131,131,131,131,1
15,160,159,162,160,1
16,45,42,46,45,1
16,76,74,77,76,1
16,95,88,98,95,1
16,114,109,117,114,1
16,156,155,159,156,1
17,44,40,46,44,1
17,80,75,87,80,1
17,112,109,115,112,1
17,137,137,137,137,1
17,164,162,166,164,1
18,46,46,47,46,1
18,79,75,82,79,1
18,99,96,103,99,1
18,117,112,121,117,1
18,135,132,138,135,1
18,161,160,164,161,1
19,45,41,47,45,1
19,83,78,86,83,1
19,115,111,117,115,1
19,136,136,136,136,1
19,159,156,163,159,1
20,44,41,47,44,1
20,78,75,87,78,1
20,110,104,114,110,1
20,159,156,162,159,1
21,31,28,33,31,1
21,45,41,48,45,1
21,82,78,86,82,1
21,110,106,114,110,1
21,132,132,132,132,1
21,162,160,163,162,1
22,44,41,46,44,1
22,80,76,83,80,1
22,114,111,116,114,1
22,132,131,133,132,1
22,160,157,163,160,1
23,43,39,46,43,1
23,78,75,90,78,1
23,115,111,117,115,1
23,162,158,165,162,1
24,45,40,47,45,1
24,77,74,83,77,1
24,96,94,99,96,1
24,114,109,117,114,1
24,132,132,132,132,1
24,161,158,164,161,1
25,43,39,46,43,1
25,80,76,84,80,1
25,112,110,115,112,1
25,156,153,161,156,1
26,31,31,31,31,1
26,45,45,45,45,1
26,77,74,85,77,1
26,112,108,116,112,1
26,161,156,164,161,1
27,45,43,46,45,1
27,82,77,86,82,1
27,114,111,117,114,1
27,135,135,135,135,1
27,162,160,165,162,1
28,44,40,47,44,1
28,79,75,81,79,1
28,94,92,96,94,1
28,114,108,117,114,1
28,129,127,131,129,1
28,162,158,164,162,1
29,49,46,51,49,1
29,65,64,66,65,1
29,85,80,89,85,1
29,108,98,112,108,1
29,159,157,161,159,1
30,47,47,47,47,1
30,82,78,86,82,1
30,113,109,116,113,1
30,161,158,163,161,1
31,46,44,47,46,1
31,83,80,86,83,1
31,109,95,112,109,1
31,131,131,131,131,1
31,161,157,163,161,1
32,44,41,46,44,1
32,80,75,83,80,1
32,110,106,114,110,1
32,129,129,129,129,1
32,162,157,165,162,1
33,44,40,47,44,1
33,80,77,83,80,1
33,95,93,98,95,1
33,111,107,115,111,1
33,135,135,135,135,1
33,160,156,163,160,1
34,45,42,47,45,1
34,80,76,84,80,1
34,114,111,117,114,1
34,138,136,140,138,1
34,161,159,165,161,1
35,46,43,48,46,1
35,83,76,89,83,1
35,114,109,117,114,1
35,158,155,162,158,1
36,45,41,47,45,1
36,81,77,84,81,1
36,113,109,116,113,1
36,141,141,142,141,1
36,159,155,162,159,1
37,44,39,46,44,1
37,77,75,80,77,1
37,96,93,99,96,1
37,114,110,117,114,1
37,163,163,164,163,1
38,45,45,45,45,1
38,86,75,90,86,1
38,112,109,115,112,1
38,133,133,133,133,1
38,161,157,163,161,1
39,20,20,20,20,1
39,43,40,46,43,1
39,82,78,86,82,1
39,111,108,113,111,1
39,157,155,161,157,1
40,45,42,46,45,1
40,81,77,84,81,1
40,96,94,102,96,1
40,112,110,115,112,1
40,134,132,135,134,1
40,161,157,163,161,1
41,43,40,46,43,1
41,81,78,83,81,1
41,113,109,116,113,1
41,136,136,136,136,1
41,162,159,165,162,1
42,45,42,48,45,1
42,78,74,82,78,1
42,96,94,98,96,1
42,112,109,115,112,1
42,133,133,133,133,1
42,161,160,163,161,1
43,45,41,47,45,1
43,78,74,81,78,1
43,94,92,96,94,1
43,114,111,117,114,1
43,162,158,165,162,1
44,30,30,30,30,1
44,45,45,45,45,1
44,87,83,90,87,1
44,112,109,114,112,1
44,138,138,138,138,1
44,163,160,165,163,1
45,40,40,40,40,1
45,65,64,67,65,1
45,83,78,86,83,1
45,110,104,115,110,1
45,163,161,165,163,1
46,46,43,48,46,1
46,68,66,69,68,1
46,86,84,88,86,1
46,98,95,102,98,1
46,112,109,114,112,1
46,135,135,135,135,1
46,161,158,164,161,1
47,46,42,48,46,1
47,81,74,86,81,1
47,112,109,115,112,1
47,128,128,128,128,1
47,151,148,154,151,1
48,45,42,47,45,1
48,82,76,85,82,1
48,112,107,115,112,1
48,160,154,163,160,1
49,31,31,31,31,1
49,46,45,49,46,1
49,87,83,89,87,1
49,112,106,115,112,1
49,128,128,128,128,1
49,162,157,164,162,1
50,46,43,48,46,1
50,78,74,82,78,1
50,95,92,99,95,1
50,115,110,117,115,1
50,132,131,134,132,1
50,161,158,162,161,1
51,46,44,48,46,1
51,82,78,85,82,1
51,112,109,116,112,1
51,132,132,132,132,1
51,161,158,164,161,1
52,45,45,45,45,1
52,86,82,90,86,1
52,113,110,116,113,1
52,162,156,164,162,1
53,44,39,48,44,1
53,80,76,83,80,1
53,112,108,116,112,1
53,131,131,131,131,1
53,161,157,163,161,1
54,45,43,45,45,1
54,79,76,83,79,1
54,113,109,120,113,1
54,137,133,141,137,1
54,160,157,163,160,1
55,45,41,47,45,1
55,81,77,85,81,1
55,96,94,98,96,1
55,114,112,117,114,1
55,131,131,131,131,1
55,162,159,165,162,1
56,18,16,19,18,1
56,45,41,47,45,1
56,83,74,87,83,1
56,113,110,115,113,1
56,132,132,132,132,1
56,155,152,158,155,1
57,14,14,14,14,1
57,45,43,47,45,1
57,77,71,82,77,1
57,94,91,96,94,1
57,114,111,116,114,1
57,135,135,135,135,1
58,31,31,31,31,1
58,46,44,47,46,1
