rep,center_day,start_day,end_day,main_peak_day,n_support_points
58,78,75,84,78,1
58,110,100,115,110,1
58,131,130,132,131,1
58,154,152,155,154,1
59,44,38,46,44,1
59,82,78,87,82,1
59,115,112,117,115,1
59,137,137,137,137,1
59,156,154,162,156,1
60,46,46,46,46,1
60,73,69,89,73,1
60,111,109,114,111,1
60,138,138,138,138,1
60,158,157,161,158,1
61,42,40,44,42,1
61,79,74,84,79,1
61,97,94,100,97,1
61,112,109,115,112,1
61,132,132,132,132,1
61,161,155,164,161,1
62,45,42,48,45,1
62,76,74,82,76,1
62,98,96,100,98,1
62,114,110,118,114,1
62,158,156,160,158,1
63,30,30,30,30,1
63,45,45,45,45,1
63,83,80,86,83,1
63,114,111,117,114,1
63,136,134,138,136,1
63,155,152,163,155,1
64,45,41,47,45,1
64,83,81,85,83,1
64,97,92,101,97,1
64,112,110,114,112,1
64,130,130,130,130,1
64,158,153,163,158,1
65,44,40,47,44,1
65,83,81,85,83,1
65,96,93,100,96,1
65,116,115,117,116,1
65,135,135,135,135,1
65,160,155,163,160,1
66,41,39,44,41,1
66,78,75,96,78,1
66,136,136,136,136,1
66,159,155,163,159,1
67,45,45,45,45,1
67,84,81,87,84,1
67,98,96,100,98,1
67,114,110,116,114,1
67,138,138,138,138,1
67,160,156,163,160,1
68,45,43,48,45,1
68,85,83,88,85,1
68,111,107,116,111,1
68,131,131,131,131,1
68,159,157,162,159,1
69,41,40,41,41,1
69,77,75,81,77,1
69,110,107,114,110,1
69,160,155,163,160,1
70,45,42,47,45,1
70,96,80,102,96,1
70,115,113,117,115,1
70,160,155,163,160,1
71,45,41,47,45,1
71,80,75,86,80,1
71,114,110,117,114,1
71,133,132,136,133,1
71,164,162,166,164,1
72,44,40,47,44,1
72,84,79,87,84,1
72,114,111,117,114,1
72,136,136,136,136,1
72,162,158,164,162,1
73,46,43,48,46,1
73,86,83,88,86,1
73,113,108,117,113,1
73,133,133,133,133,1
73,161,157,164,161,1
74,43,39,47,43,1
74,82,79,86,82,1
74,96,94,99,96,1
74,116,114,118,116,1
74,135,135,135,135,1
74,158,155,163,158,1
75,45,45,46,45,1
75,82,76,87,82,1
75,113,109,116,113,1
75,136,136,136,136,1
75,160,155,163,160,1
76,31,31,32,31,1
76,46,44,47,46,1
76,79,75,84,79,1
76,95,92,97,95,1
76,110,109,112,110,1
76,129,129,129,129,1
76,159,154,163,159,1
77,44,38,47,44,1
77,81,77,85,81,1
77,113,109,116,113,1
77,161,157,164,161,1
78,45,43,47,45,1
78,81,74,84,81,1
78,115,112,118,115,1
78,141,138,143,141,1
78,158,156,165,158,1
79,46,46,46,46,1
79,84,80,88,84,1
79,112,108,116,112,1
79,160,157,164,160,1
80,45,42,47,45,1
80,77,73,83,77,1
80,114,111,117,114,1
80,131,131,131,131,1
80,154,153,156,154,1
81,43,38,46,43,1
81,81,76,86,81,1
81,115,111,118,115,1
81,140,140,140,140,1
81,168,167,168,167,1
82,45,44,46,45,1
82,64,62,66,64,1
82,80,76,87,80,1
82,99,97,102,99,1
82,112,107,116,112,1
82,161,155,164,161,1
83,46,43,48,46,1
83,83,81,86,83,1
83,97,94,99,97,1
83,113,109,117,113,1
83,132,132,132,132,1
83,168,167,168,167,1
84,45,42,47,45,1
84,80,76,83,80,1
84,95,93,97,95,1
84,115,111,118,115,1
84,136,131,139,136,1
84,159,157,162,159,1
85,40,37,45,40,1
85,79,75,84,79,1
85,96,94,98,96,1
85,115,111,117,115,1
85,133,133,133,133,1
85,159,155,162,159,1
86,44,40,46,44,1
86,77,74,81,77,1
86,96,96,96,96,1
86,114,111,117,114,1
86,160,155,162,160,1
87,42,37,45,42,1
87,79,76,87,79,1
87,115,111,117,115,1
87,132,130,135,132,1
87,157,155,161,157,1
88,46,44,47,46,1
88,66,65,67,66,1
88,82,79,85,82,1
88,112,108,116,112,1
88,160,157,162,160,1
89,46,44,50,46,1
89,67,65,69,67,1
89,86,82,89,86,1
89,133,133,133,133,1
89,162,160,164,162,1
90,45,45,45,45,1
90,80,76,88,80,1
90,112,110,114,112,1
90,163,161,165,163,1
91,42,38,45,42,1
91,78,75,82,78,1
91,114,110,117,114,1
91,131,131,131,131,1
91,162,160,164,162,1
92,45,43,47,45,1
92,64,62,67,64,1
92,112,94,115,112,2
92,136,135,138,136,1
92,160,156,163,160,1
93,46,42,49,46,1
93,66,64,68,66,1
93,82,78,85,82,1
93,114,110,117,114,1
93,131,130,135,131,1
93,163,162,164,163,1
94,30,30,30,30,1
94,47,45,49,47,1
94,68,66,70,68,1
94,84,82,86,84,1
94,111,95,114,111,1
94,157,153,162,157,1
95,44,41,46,44,1
95,85,80,89,85,1
95,114,112,116,114,1
95,136,136,137,136,1
95,162,160,165,162,1
96,42,39,45,42,1
96,79,76,83,79,1
96,111,108,114,111,1
96,135,135,135,135,1
96,161,154,164,161,1
97,46,43,49,46,1
97,72,68,76,72,1
97,96,94,99,96,1
97,113,110,116,113,1
97,134,128,137,134,1
97,161,158,164,161,1
98,46,43,47,46,1
98,65,63,68,65,1
98,83,77,88,83,1
98,99,97,101,99,1
98,110,107,114,110,1
98,136,136,136,136,1
98,160,156,162,160,1
99,46,45,47,46,1
99,80,77,83,80,1
99,110,106,114,110,1
99,130,130,130,130,1
99,158,155,161,158,1
