band_id,band_start_day,band_end_day,band_threshold
RB01,43,47,5.08044936098908
RB02,76,85,7.758329027491222
RB03,109,116,7.033467506205835
RB04,135,135,5.08044936098908
RB05,156,163,6.180911114463008
